district_id,week_start,rainfall_mm,rainfall_anomaly_mm,rainfall_cum4wk_mm,temp_max_c,temp_min_c,temp_mean_c,humidity_pct,soil_moisture_pct,wind_speed_kmh,humidity_pct_lag1wk,humidity_pct_lag2wk,humidity_pct_lag4wk,humidity_pct_lag6wk,humidity_pct_lag8wk,rainfall_anomaly_mm_lag1wk,rainfall_anomaly_mm_lag2wk,rainfall_anomaly_mm_lag4wk,rainfall_anomaly_mm_lag6wk,rainfall_anomaly_mm_lag8wk,rainfall_cum4wk_mm_lag1wk,rainfall_cum4wk_mm_lag2wk,rainfall_cum4wk_mm_lag4wk,rainfall_cum4wk_mm_lag6wk,rainfall_cum4wk_mm_lag8wk,rainfall_mm_lag1wk,rainfall_mm_lag2wk,rainfall_mm_lag4wk,rainfall_mm_lag6wk,rainfall_mm_lag8wk,soil_moisture_pct_lag1wk,soil_moisture_pct_lag2wk,soil_moisture_pct_lag4wk,soil_moisture_pct_lag6wk,soil_moisture_pct_lag8wk,temp_max_c_lag1wk,temp_max_c_lag2wk,temp_max_c_lag4wk,temp_max_c_lag6wk,temp_max_c_lag8wk,temp_mean_c_lag1wk,temp_mean_c_lag2wk,temp_mean_c_lag4wk,temp_mean_c_lag6wk,temp_mean_c_lag8wk,temp_min_c_lag1wk,temp_min_c_lag2wk,temp_min_c_lag4wk,temp_min_c_lag6wk,temp_min_c_lag8wk,wind_speed_kmh_lag1wk,wind_speed_kmh_lag2wk,wind_speed_kmh_lag4wk,wind_speed_kmh_lag6wk,wind_speed_kmh_lag8wk,confirmed_cases,suspected_cases,deaths,tests_performed,test_positivity_rate,cases_lag1wk,cases_lag2wk,cases_lag4wk,cases_ma4wk,seasonal_trend_index
BNG,2024-01-01,20.7,-39.4,,30.8,21.7,26.02857142857143,76.14285714285714,33.0,14.042857142857144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,16,0,37,37.8,,,,14.0,86.2
BNG,2024-01-08,74.7,14.6,,30.9,21.9,24.885714285714283,82.14285714285714,35.2,18.02857142857143,76.14,,,,,-39.4,,,,,,,,,,20.7,,,,,33.0,,,,,30.8,,,,,26.03,,,,,21.7,,,,,14.04,,,,,23,32,0,71,32.4,14.0,,,18.5,75.4
BNG,2024-01-15,131.6,71.5,,28.9,20.1,23.842857142857145,81.71428571428571,41.4,16.485714285714288,82.14,76.14,,,,14.6,-39.4,,,,,,,,,74.7,20.7,,,,35.2,33.0,,,,30.9,30.8,,,,24.89,26.03,,,,21.9,21.7,,,,18.03,14.04,,,,44,53,0,119,37.0,23.0,14.0,,27.0,89.1
BNG,2024-01-22,1.0,-59.1,228.0,30.7,18.5,24.857142857142858,69.57142857142857,27.3,14.9,81.71,82.14,,,,71.5,14.6,,,,,,,,,131.6,74.7,,,,41.4,35.2,,,,28.9,30.9,,,,23.84,24.89,,,,20.1,21.9,,,,16.49,18.03,,,,10,18,0,32,31.2,44.0,23.0,,22.75,78.9
BNG,2024-01-29,1.1,-59.0,208.4,31.0,21.6,26.3,68.0,15.3,15.4,69.57,81.71,76.14,,,-59.1,71.5,-39.4,,,228.0,,,,,1.0,131.6,20.7,,,27.3,41.4,33.0,,,30.7,28.9,30.8,,,24.86,23.84,26.03,,,18.5,20.1,21.7,,,14.9,16.49,14.04,,,22,29,0,68,32.4,10.0,44.0,14.0,24.75,80.8
BNG,2024-02-05,0.1,-32.1,133.8,34.4,23.0,28.914285714285715,60.285714285714285,12.3,16.8,68.0,69.57,82.14,,,-59.0,-59.1,14.6,,,208.4,228.0,,,,1.1,1.0,74.7,,,15.3,27.3,35.2,,,31.0,30.7,30.9,,,26.3,24.86,24.89,,,21.6,18.5,21.9,,,15.4,14.9,18.03,,,46,59,1,125,36.8,22.0,10.0,23.0,30.5,83.5
BNG,2024-02-12,0.4,-31.8,2.6,36.3,21.0,28.414285714285715,51.0,10.9,15.728571428571428,60.29,68.0,81.71,76.14,,-32.1,-59.0,71.5,-39.4,,133.8,208.4,,,,0.1,1.1,131.6,20.7,,12.3,15.3,41.4,33.0,,34.4,31.0,28.9,30.8,,28.91,26.3,23.84,26.03,,23.0,21.6,20.1,21.7,,16.8,15.4,16.49,14.04,,31,42,0,93,33.3,46.0,22.0,44.0,27.25,84.8
BNG,2024-02-19,0.0,-32.2,1.6,34.9,22.3,29.02857142857143,46.0,10.2,19.61428571428572,51.0,60.29,69.57,82.14,,-31.8,-32.1,-59.1,14.6,,2.6,133.8,228.0,,,0.4,0.1,1.0,74.7,,10.9,12.3,27.3,35.2,,36.3,34.4,30.7,30.9,,28.41,28.91,24.86,24.89,,21.0,23.0,18.5,21.9,,15.73,16.8,14.9,18.03,,24,27,1,63,38.1,31.0,46.0,10.0,30.75,92.8
BNG,2024-02-26,9.5,-22.7,10.0,35.7,20.2,26.61428571428572,61.285714285714285,13.7,18.285714285714285,46.0,51.0,68.0,81.71,76.14,-32.2,-31.8,-59.0,71.5,-39.4,1.6,2.6,208.4,,,0.0,0.4,1.1,131.6,20.7,10.2,10.9,15.3,41.4,33.0,34.9,36.3,31.0,28.9,30.8,29.03,28.41,26.3,23.84,26.03,22.3,21.0,21.6,20.1,21.7,19.61,15.73,15.4,16.49,14.04,16,23,1,51,31.4,24.0,31.0,22.0,29.25,81.5
BNG,2024-03-04,0.6000000000000001,-4.7,10.5,36.0,23.9,29.457142857142856,57.0,11.3,19.0,61.29,46.0,60.29,69.57,82.14,-22.7,-32.2,-32.1,-59.1,14.6,10.0,1.6,133.8,228.0,,9.5,0.0,0.1,1.0,74.7,13.7,10.2,12.3,27.3,35.2,35.7,34.9,34.4,30.7,30.9,26.61,29.03,28.91,24.86,24.89,20.2,22.3,23.0,18.5,21.9,18.29,19.61,16.8,14.9,18.03,15,20,1,41,36.6,16.0,24.0,46.0,21.5,83.4
BNG,2024-03-11,1.9,-3.4,12.0,34.7,23.5,28.957142857142856,57.71428571428572,10.7,17.5,57.0,61.29,51.0,68.0,81.71,-4.7,-22.7,-31.8,-59.0,71.5,10.5,10.0,2.6,208.4,,0.6,9.5,0.4,1.1,131.6,11.3,13.7,10.9,15.3,41.4,36.0,35.7,36.3,31.0,28.9,29.46,26.61,28.41,26.3,23.84,23.9,20.2,21.0,21.6,20.1,19.0,18.29,15.73,15.4,16.49,11,18,1,33,33.3,15.0,16.0,31.0,16.5,82.1
BNG,2024-03-18,0.7999999999999999,-4.5,12.8,32.6,23.6,28.014285714285712,47.0,10.3,21.27142857142857,57.71,57.0,46.0,60.29,69.57,-3.4,-4.7,-32.2,-32.1,-59.1,12.0,10.5,1.6,133.8,228.0,1.9,0.6,0.0,0.1,1.0,10.7,11.3,10.2,12.3,27.3,34.7,36.0,34.9,34.4,30.7,28.96,29.46,29.03,28.91,24.86,23.5,23.9,22.3,23.0,18.5,17.5,19.0,19.61,16.8,14.9,5,6,0,14,35.7,11.0,15.0,24.0,11.75,82.9
BNG,2024-03-25,1.5,-3.8,4.8,32.2,22.8,27.75714285714286,55.285714285714285,10.4,19.25714285714286,47.0,57.71,61.29,51.0,68.0,-4.5,-3.4,-22.7,-31.8,-59.0,12.8,12.0,10.0,2.6,208.4,0.8,1.9,9.5,0.4,1.1,10.3,10.7,13.7,10.9,15.3,32.6,34.7,35.7,36.3,31.0,28.01,28.96,26.61,28.41,26.3,23.6,23.5,20.2,21.0,21.6,21.27,17.5,18.29,15.73,15.4,2,4,0,7,28.6,5.0,11.0,16.0,8.25,87.7
