district_id,week_start,humidity_pct_lag1wk,humidity_pct_lag2wk,humidity_pct_lag4wk,humidity_pct_lag6wk,humidity_pct_lag8wk,rainfall_anomaly_mm_lag1wk,rainfall_anomaly_mm_lag2wk,rainfall_anomaly_mm_lag4wk,rainfall_anomaly_mm_lag6wk,rainfall_anomaly_mm_lag8wk,rainfall_cum4wk_mm_lag1wk,rainfall_cum4wk_mm_lag2wk,rainfall_cum4wk_mm_lag4wk,rainfall_cum4wk_mm_lag6wk,rainfall_cum4wk_mm_lag8wk,rainfall_mm_lag1wk,rainfall_mm_lag2wk,rainfall_mm_lag4wk,rainfall_mm_lag6wk,rainfall_mm_lag8wk,soil_moisture_pct_lag1wk,soil_moisture_pct_lag2wk,soil_moisture_pct_lag4wk,soil_moisture_pct_lag6wk,soil_moisture_pct_lag8wk,temp_max_c_lag1wk,temp_max_c_lag2wk,temp_max_c_lag4wk,temp_max_c_lag6wk,temp_max_c_lag8wk,temp_mean_c_lag1wk,temp_mean_c_lag2wk,temp_mean_c_lag4wk,temp_mean_c_lag6wk,temp_mean_c_lag8wk,temp_min_c_lag1wk,temp_min_c_lag2wk,temp_min_c_lag4wk,temp_min_c_lag6wk,temp_min_c_lag8wk,wind_speed_kmh_lag1wk,wind_speed_kmh_lag2wk,wind_speed_kmh_lag4wk,wind_speed_kmh_lag6wk,wind_speed_kmh_lag8wk
BNG,2024-01-08,76.14,,,,,-39.4,,,,,,,,,,20.7,,,,,33.0,,,,,30.8,,,,,26.03,,,,,21.7,,,,,14.04,,,,
BNG,2024-01-15,82.14,76.14,,,,14.6,-39.4,,,,,,,,,74.7,20.7,,,,35.2,33.0,,,,30.9,30.8,,,,24.89,26.03,,,,21.9,21.7,,,,18.03,14.04,,,
BNG,2024-01-22,81.71,82.14,,,,71.5,14.6,,,,,,,,,131.6,74.7,,,,41.4,35.2,,,,28.9,30.9,,,,23.84,24.89,,,,20.1,21.9,,,,16.49,18.03,,,
BNG,2024-01-29,69.57,81.71,76.14,,,-59.1,71.5,-39.4,,,228.0,,,,,1.0,131.6,20.7,,,27.3,41.4,33.0,,,30.7,28.9,30.8,,,24.86,23.84,26.03,,,18.5,20.1,21.7,,,14.9,16.49,14.04,,
BNG,2024-02-05,68.0,69.57,82.14,,,-59.0,-59.1,14.6,,,208.4,228.0,,,,1.1,1.0,74.7,,,15.3,27.3,35.2,,,31.0,30.7,30.9,,,26.3,24.86,24.89,,,21.6,18.5,21.9,,,15.4,14.9,18.03,,
BNG,2024-02-12,60.29,68.0,81.71,76.14,,-32.1,-59.0,71.5,-39.4,,133.8,208.4,,,,0.1,1.1,131.6,20.7,,12.3,15.3,41.4,33.0,,34.4,31.0,28.9,30.8,,28.91,26.3,23.84,26.03,,23.0,21.6,20.1,21.7,,16.8,15.4,16.49,14.04,
BNG,2024-02-19,51.0,60.29,69.57,82.14,,-31.8,-32.1,-59.1,14.6,,2.6,133.8,228.0,,,0.4,0.1,1.0,74.7,,10.9,12.3,27.3,35.2,,36.3,34.4,30.7,30.9,,28.41,28.91,24.86,24.89,,21.0,23.0,18.5,21.9,,15.73,16.8,14.9,18.03,
BNG,2024-02-26,46.0,51.0,68.0,81.71,76.14,-32.2,-31.8,-59.0,71.5,-39.4,1.6,2.6,208.4,,,0.0,0.4,1.1,131.6,20.7,10.2,10.9,15.3,41.4,33.0,34.9,36.3,31.0,28.9,30.8,29.03,28.41,26.3,23.84,26.03,22.3,21.0,21.6,20.1,21.7,19.61,15.73,15.4,16.49,14.04
BNG,2024-03-04,61.29,46.0,60.29,69.57,82.14,-22.7,-32.2,-32.1,-59.1,14.6,10.0,1.6,133.8,228.0,,9.5,0.0,0.1,1.0,74.7,13.7,10.2,12.3,27.3,35.2,35.7,34.9,34.4,30.7,30.9,26.61,29.03,28.91,24.86,24.89,20.2,22.3,23.0,18.5,21.9,18.29,19.61,16.8,14.9,18.03
BNG,2024-03-11,57.0,61.29,51.0,68.0,81.71,-4.7,-22.7,-31.8,-59.0,71.5,10.5,10.0,2.6,208.4,,0.6,9.5,0.4,1.1,131.6,11.3,13.7,10.9,15.3,41.4,36.0,35.7,36.3,31.0,28.9,29.46,26.61,28.41,26.3,23.84,23.9,20.2,21.0,21.6,20.1,19.0,18.29,15.73,15.4,16.49
BNG,2024-03-18,57.71,57.0,46.0,60.29,69.57,-3.4,-4.7,-32.2,-32.1,-59.1,12.0,10.5,1.6,133.8,228.0,1.9,0.6,0.0,0.1,1.0,10.7,11.3,10.2,12.3,27.3,34.7,36.0,34.9,34.4,30.7,28.96,29.46,29.03,28.91,24.86,23.5,23.9,22.3,23.0,18.5,17.5,19.0,19.61,16.8,14.9
BNG,2024-03-25,47.0,57.71,61.29,51.0,68.0,-4.5,-3.4,-22.7,-31.8,-59.0,12.8,12.0,10.0,2.6,208.4,0.8,1.9,9.5,0.4,1.1,10.3,10.7,13.7,10.9,15.3,32.6,34.7,35.7,36.3,31.0,28.01,28.96,26.61,28.41,26.3,23.6,23.5,20.2,21.0,21.6,21.27,17.5,18.29,15.73,15.4
BNG,2024-04-01,55.29,47.0,57.0,46.0,60.29,-3.8,-4.5,-4.7,-32.2,-32.1,4.8,12.8,10.5,1.6,133.8,1.5,0.8,0.6,0.0,0.1,10.4,10.3,11.3,10.2,12.3,32.2,32.6,36.0,34.9,34.4,27.76,28.01,29.46,29.03,28.91,22.8,23.6,23.9,22.3,23.0,19.26,21.27,19.0,19.61,16.8
BNG,2024-04-08,54.57,55.29,57.71,61.29,51.0,-9.0,-3.8,-3.4,-22.7,-31.8,6.0,4.8,12.0,10.0,2.6,1.8,1.5,1.9,9.5,0.4,10.8,10.4,10.7,13.7,10.9,33.9,32.2,34.7,35.7,36.3,27.61,27.76,28.96,26.61,28.41,22.7,22.8,23.5,20.2,21.0,21.81,19.26,17.5,18.29,15.73
BNG,2024-04-15,76.71,54.57,47.0,57.0,46.0,8.8,-9.0,-4.5,-4.7,-32.2,23.7,6.0,12.8,10.5,1.6,19.6,1.8,0.8,0.6,0.0,24.3,10.8,10.3,11.3,10.2,29.6,33.9,32.6,36.0,34.9,24.14,27.61,28.01,29.46,29.03,19.5,22.7,23.6,23.9,22.3,16.49,21.81,21.27,19.0,19.61
BNG,2024-04-22,61.0,76.71,55.29,57.71,61.29,-10.6,8.8,-3.8,-3.4,-22.7,23.1,23.7,4.8,12.0,10.0,0.2,19.6,1.5,1.9,9.5,14.7,24.3,10.4,10.7,13.7,30.5,29.6,32.2,34.7,35.7,24.36,24.14,27.76,28.96,26.61,19.7,19.5,22.8,23.5,20.2,19.51,16.49,19.26,17.5,18.29
BNG,2024-04-29,51.29,61.0,54.57,47.0,57.0,-10.8,-10.6,-9.0,-4.5,-4.7,21.6,23.1,6.0,12.8,10.5,0.0,0.2,1.8,0.8,0.6,10.3,14.7,10.8,10.3,11.3,32.1,30.5,33.9,32.6,36.0,24.67,24.36,27.61,28.01,29.46,17.5,19.7,22.7,23.6,23.9,18.6,19.51,21.81,21.27,19.0
BNG,2024-05-06,46.86,51.29,76.71,55.29,57.71,-10.8,-10.8,8.8,-3.8,-3.4,19.8,21.6,23.7,4.8,12.0,0.0,0.0,19.6,1.5,1.9,10.1,10.3,24.3,10.4,10.7,29.5,32.1,29.6,32.2,34.7,23.06,24.67,24.14,27.76,28.96,15.2,17.5,19.5,22.8,23.5,16.3,18.6,16.49,19.26,17.5
BNG,2024-05-13,49.86,46.86,61.0,54.57,47.0,-0.2,-10.8,-10.6,-9.0,-4.5,0.2,19.8,23.1,6.0,12.8,0.0,0.0,0.2,1.8,0.8,10.1,10.1,14.7,10.8,10.3,30.9,29.5,30.5,33.9,32.6,24.51,23.06,24.36,27.61,28.01,17.4,15.2,19.7,22.7,23.6,18.06,16.3,19.51,21.81,21.27
BNG,2024-05-20,43.71,49.86,51.29,76.71,55.29,-0.2,-0.2,-10.8,8.8,-3.8,0.0,0.2,21.6,23.7,4.8,0.0,0.0,0.0,19.6,1.5,10.1,10.1,10.3,24.3,10.4,29.6,30.9,32.1,29.6,32.2,23.34,24.51,24.67,24.14,27.76,15.5,17.4,17.5,19.5,22.8,16.94,18.06,18.6,16.49,19.26
BNG,2024-05-27,51.29,43.71,46.86,61.0,54.57,0.3,-0.2,-10.8,-10.6,-9.0,0.5,0.0,19.8,23.1,6.0,0.5,0.0,0.0,0.2,1.8,10.1,10.1,10.1,14.7,10.8,28.1,29.6,29.5,30.5,33.9,22.26,23.34,23.06,24.36,27.61,16.3,15.5,15.2,19.7,22.7,17.34,16.94,16.3,19.51,21.81
BNG,2024-06-03,47.71,51.29,49.86,51.29,76.71,-0.2,0.3,-0.2,-10.8,8.8,0.5,0.5,0.2,21.6,23.7,0.0,0.5,0.0,0.0,19.6,10.1,10.1,10.1,10.3,24.3,30.5,28.1,30.9,32.1,29.6,21.33,22.26,24.51,24.67,24.14,13.7,16.3,17.4,17.5,19.5,22.19,17.34,18.06,18.6,16.49
